നീയാരാണ്?	Smalltalk.agent.acquaintance
ആരാണ് നീ?	Smalltalk.agent.acquaintance
ആരാണുനീ?	Smalltalk.agent.acquaintance
നീയാരാണ്?	Smalltalk.agent.acquaintance
നീയാരാ?	Smalltalk.agent.acquaintance
എന്താണുനീ?	Smalltalk.agent.acquaintance
നീയെന്താണ്?	Smalltalk.agent.acquaintance
നീയാരാണെന്നു പറയാമോ?	Smalltalk.agent.acquaintance
നീയെന്താണെന്നു പറയൂ	Smalltalk.agent.acquaintance
നീ ആരാണെന്ന് പറയൂ	Smalltalk.agent.acquaintance
നീയാരാണെന്നുപറയൂ	Smalltalk.agent.acquaintance
ദയവായി നിന്നെപ്പറ്റി സംസാരിക്കൂ	Smalltalk.agent.acquaintance
നിന്നെപ്പറ്റി പറയാമോ?	Smalltalk.agent.acquaintance
നിന്നെപ്പറ്റിപ്പറ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി സംസാരിക്ക്.	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എന്നോട് സംസാരിക്ക്	Smalltalk.agent.acquaintance
നിന്നെപറ്റി പറ	Smalltalk.agent.acquaintance
നീ നിന്നെപറ്റി പറ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി പറ, കേള്‍ക്കട്ടെ.	Smalltalk.agent.acquaintance
നിന്നെപറ്റിപറയൂ	Smalltalk.agent.acquaintance
പറയൂ നിന്നെപ്പറ്റി	Smalltalk.agent.acquaintance
ദയവായി നിന്നെപ്പറ്റി പറയാമോ?	Smalltalk.agent.acquaintance
ദയവായി നിന്നെപറ്റി സംസാരിക്കൂ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി വിശദീകരിക്കാമോ?	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എന്നോട് പറയൂ	Smalltalk.agent.acquaintance
എന്നോട് നിന്നെപറ്റി പറയൂ	Smalltalk.agent.acquaintance
നീ സ്വയം പരിചയപ്പെടുത്തൂ	Smalltalk.agent.acquaintance
നിന്റെ സ്വഭാവം എന്താണ്?	Smalltalk.agent.acquaintance
എന്താണുനിന്റെസ്വഭാവം?	Smalltalk.agent.acquaintance
നിന്റെ സ്വഭാവമെന്താകുന്നു?	Smalltalk.agent.acquaintance
നിന്റെ സ്വഭാവമെന്ത്?	Smalltalk.agent.acquaintance
നീ എന്താകുന്നു?	Smalltalk.agent.acquaintance
നിന്നെ എനിക്ക് പരിചയപ്പെടുത്തൂ..	Smalltalk.agent.acquaintance
സ്വയമൊന്നു പരിചയപ്പെടുത്താമോ?	Smalltalk.agent.acquaintance
ദയവായി ഒന്നു പരിചയപ്പെടുത്താമോ?	Smalltalk.agent.acquaintance
നിന്നെപറ്റി ഒന്നു വിശദീകരിക്കൂ..	Smalltalk.agent.acquaintance
സ്വവയം ഒന്നുവിശദീകരിക്കൂ	Smalltalk.agent.acquaintance
എന്നോട് നിന്നെപറ്റി പറയൂ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എന്നൊട് പറയൂ	Smalltalk.agent.acquaintance
ദയവായി നിന്നെപറ്റി എന്നൊട് സംസാരിക്കൂ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എനിക്ക് അറിയണം	Smalltalk.agent.acquaintance
നിനക്ക് സ്വയം ഒന്നു വിശേഷിപ്പിക്കാമോ?	Smalltalk.agent.acquaintance
സ്വയം ഒന്നു വിശേഷിപ്പിച്ചേ	Smalltalk.agent.acquaintance
നിന്നെപെറ്റി കൂടുതല്‍ എനിക്കറിയണം	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എനിക്കറിയണം	Smalltalk.agent.acquaintance
കൂടുതല്‍ കാര്യങ്ങള്‍ എനിക്കറിയണം	Smalltalk.agent.acquaintance
എനിക്ക് നിന്നെപറ്റി കൂടുതലറിയണം	Smalltalk.agent.acquaintance
നിന്നെപറ്റി കൂടുതലറിയാന്‍ കഴിയുമോ?	Smalltalk.agent.acquaintance
നിന്നെപറ്റി നന്നായറിയാന്‍ കഴിയുമൊ?	Smalltalk.agent.acquaintance
നിന്നെ പറ്റി നന്നായി അറിയണമായിരുന്നു.	Smalltalk.agent.acquaintance
നിന്നെപറ്റി എനിക്ക് അറിയണമായിരുന്നു.	Smalltalk.agent.acquaintance
എനിക്ക് നിന്നെപെറ്റി കൂടുതലറിയണമായിരുന്നു.	Smalltalk.agent.acquaintance
നിന്നെപറ്റി ഞാന്‍ കേള്‍ക്കട്ടെ	Smalltalk.agent.acquaintance
നിന്നെപറ്റി കേള്‍ക്കട്ടെ	Smalltalk.agent.acquaintance
എന്താണ് നിന്റെ ജോലി	Smalltalk.agent.acquaintance
നിന്റെ ജോലിയെന്താണ്?	Smalltalk.agent.acquaintance
എന്തുജോലിയാണ് നിന്റെ?	Smalltalk.agent.acquaintance
നീയെന്താണ് ചെയ്യുന്നത്?	Smalltalk.agent.acquaintance
നീയെന്തുചെയ്യുന്നു?	Smalltalk.agent.acquaintance
എന്തുചെയ്യുന്നു?	Smalltalk.agent.acquaintance
എന്തു ചെയ്യുന്നു?	Smalltalk.agent.acquaintance
നിനക്കെത്റ വയസായി?	smalltalk.agent.age
എത്ര വയസുണ്ട് നിനക്ക്?	smalltalk.agent.age
നികക്കെത്ര വയസായി?	smalltalk.agent.age
നിന്റെ പ്രായം എത്രയാണ്?	smalltalk.agent.age
എന്തു പ്രായമുണ്ടുനിനക്ക്?	smalltalk.agent.age
എന്തുപ്രായമുണ്ടുനിനക്ക്?	smalltalk.agent.age
എന്ത്പ്രായമുണ്ട് നിനക്ക്?	smalltalk.agent.age
എത്രവയസുണ്ടുനിനക്ക്?	smalltalk.agent.age
എത്രവയസുണ്ട് നിനക്ക്?	smalltalk.agent.age
നിനക്കെന്തുപ്രായമായി?	smalltalk.agent.age
നിനക്ക് എന്തുപ്രായമായി?	smalltalk.agent.age
എന്തോരം വയസുന്റ് നിനക്ക്?	smalltalk.agent.age
എത്രവയസ്സായി?	smalltalk.agent.age
എന്ത് വയസായി?	smalltalk.agent.age
പ്രായം എത്രയായി?	smalltalk.agent.age
നിനക്കിപ്പോ എത്ര വയസായി?	smalltalk.agent.age
എത്നുവയസുണ്ട് നിനക്കിപ്പൊ?	smalltalk.agent.age
നിനക്കിപ്പൊ 21 വയസാണോ?	smalltalk.agent.age
നിനക്ക് 10 വയസാണോ?	smalltalk.agent.age
നീ കുട്ടിയാണോ?	smalltalk.agent.age
നീ ചെറുപ്പമാണോ?	smalltalk.agent.age
നീ ചെരുപ്പക്കാരിയാണോ?	smalltalk.agent.age
നീ ചെറുപ്പക്കാരനാണോ?	smalltalk.agent.age
പ്രായമായൊ?	smalltalk.agent.age
ചെറുപ്പമാണോ?	smalltalk.agent.age
കുട്ടിയാണോ?	smalltalk.agent.age
ചെറിയ കുട്ടിയാണല്ലേ?	smalltalk.agent.age
പിഞ്ചുകുഞ്ഞ് ആണല്ലേ?	smalltalk.agent.age
പിഞ്ചുകുഞ്ഞാണല്ലേ?	smalltalk.agent.age
നിനക്ക് 12 വയസായോ?	smalltalk.agent.age
നിനക്ക് 13 വയസാണോ?	smalltalk.agent.age
നിന്റെ വയസെത്രയാ?	smalltalk.agent.age
നിന്റെ വയസു പറയാമോ?	smalltalk.agent.age
എന്നോട് നിനക്കെത്ര വയസുണ്ടെന്നു പറയാമോ?	smalltalk.agent.age
നിനക്കെത്ര വയസുണ്ട് എന്നു പറയൂ	smalltalk.agent.age
നിന്റെ വയസ്സ്	smalltalk.agent.age
നിന്റെ പ്രായം	smalltalk.agent.age
വയസ്സ്?	smalltalk.agent.age
പ്രായം?	smalltalk.agent.age
നിന്റെവയസ്സ് പറ	smalltalk.agent.age
നിന്റെ വയസ്സ് പറ	smalltalk.agent.age
വയസ്സ് പറ	smalltalk.agent.age
വയസ് പറ	smalltalk.agent.age
പറ വയസ്സ്	smalltalk.agent.age
പ്രായം പറ	smalltalk.agent.age
പ്രായം പറയൂ	smalltalk.agent.age
നീ വലിയൊരു ശല്യമാണ്	smalltalk.agent.annoying
നിന്നെക്കൊണ്ട് എനിക്ക് ശല്യമാണല്ലോ?	smalltalk.agent.annoying
എന്തൊരു ശല്യമാണ്.	smalltalk.agent.annoying
ശല്യം.	smalltalk.agent.annoying
പണ്ടാരം.	smalltalk.agent.annoying
ശല്യം	smalltalk.agent.annoying
ഹോ ശല്യം	smalltalk.agent.annoying
ഓ ശല്യം	smalltalk.agent.annoying
ഓ പണ്ടാരം	smalltalk.agent.annoying
എനിക്ക് നീയൊരു ബുചിമുട്ടാണ്.	smalltalk.agent.annoying
നിന്നെക്കൊണ്ട് വല്യ ബുധിമുട്ടാണ്.	smalltalk.agent.annoying
ഒന്നു ശല്യപ്പെടുത്താതിരിക്കുമോ?	smalltalk.agent.annoying
എന്നെയൊന്നു വെറുതേ വിടുമോ?	smalltalk.agent.annoying
പ്ലീസ് ശല്യപ്പെടുത്തല്ലേ	smalltalk.agent.annoying
പ്ലീസ് ഉപദ്രവിക്കരുത്.	smalltalk.agent.annoying
ഉപദ്രവിക്കല്ലേ പ്ലീസ്.	smalltalk.agent.annoying
ശല്യമുണ്ടാക്കരുത്.	smalltalk.agent.annoying
ദയവായി ശല്യപ്പെടുത്തരുത്	smalltalk.agent.annoying
ദയവായി ഉപദ്രവിക്കരുത്	smalltalk.agent.annoying
ദയവായി ഉപദ്രവമുണ്ടാക്കരുത്	smalltalk.agent.annoying
പ്ലീസ് ശല്യപ്പെടുത്താതെ പോ	smalltalk.agent.annoying
പോ ശല്യം	smalltalk.agent.annoying
നാശം	smalltalk.agent.annoying
പോ നാശം	smalltalk.agent.annoying
പോ മാരണം	smalltalk.agent.annoying
എന്തൊരു ശല്യമാണ്?	smalltalk.agent.annoying
എന്തു ഉപദ്രവമാണ്	smalltalk.agent.annoying
നിന്നെക്കൊണ്ടിപ്പോ എനിക്ക് ഉപദ്രവമാണ്	smalltalk.agent.annoying
നിന്നെക്കൊണ്ടുള്ള ശല്യം എനിക്ക് സഹിക്കാന്‍ പറ്റ്ന്നില്ല	smalltalk.agent.annoying
നിന്റെ ഉപദ്രവം സഹിക്കാനാവുന്നില്ല	smalltalk.agent.annoying
ശല്യം സഹിക്കാനാകുന്നില്ല	smalltalk.agent.annoying
എന്തെങ്കിലും പറ	smalltalk.agent.answer_my_question
ഉത്തരം പറ	smalltalk.agent.answer_my_question
ഇതിന്റെ ഉത്തരം എന്താണ്?	smalltalk.agent.answer_my_question
